HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Leverkusen,Eint Frankfurt,4,1,H,11,7,6,1,15,8,2,2,3,4,0,0,1.8,3.79,4.33
Stuttgart,Hertha BSC,1,1,D,12,9,5,3,12,11,10,4,1,2,0,0,1.9,3.6,4
Schalke 04,Dortmund,2,0,H,12,12,3,5,8,9,4,6,1,1,0,0,2.54,3.39,2.7
Werder Bremen,RB Leipzig,1,1,D,16,10,6,4,17,13,5,2,2,1,0,0,2.79,3.5,2.45
Mainz 05,Hamburger SV,2,0,H,14,11,3,0,16,10,4,4,1,2,0,0,2.29,3.29,3.2
M'Gladbach,Wolfsburg,3,0,H,16,7,6,2,18,16,8,5,0,2,0,0,1.8,3.79,4.5
Dortmund,Leverkusen,4,0,H,17,10,9,2,11,14,7,6,0,0,0,0,2.29,3.5,3
Eint Frankfurt,Hoffenheim,0,3,A,13,4,3,3,9,16,5,0,1,1,1,0,1.95,3.39,4.2
Hannover 96,Hamburger SV,1,0,H,11,11,5,4,12,15,10,4,3,3,0,1,2.04,3.39,3.75
Hertha BSC,Bayern Munich,0,3,A,6,14,2,8,11,19,2,7,1,0,0,0,6.25,4.59,1.44
RB Leipzig,Köln,2,5,A,14,12,8,7,7,20,8,4,0,2,1,0,2.04,3.75,3.39
Stuttgart,Werder Bremen,2,0,H,11,9,5,3,8,18,3,5,1,2,0,0,2.39,3.29,3
Augsburg,Mainz 05,2,0,H,15,7,6,3,16,18,4,5,4,1,0,0,2.2,3.29,3.39
Freiburg,Schalke 04,2,2,D,11,21,3,7,9,22,5,7,0,0,0,0,3.75,3.5,2
Köln,Hertha BSC,3,1,H,16,13,6,4,21,11,7,4,3,1,0,0,1.28,6,9.5
Bayern Munich,Eint Frankfurt,4,1,H,12,12,6,3,6,9,1,2,0,0,0,0,1.6,4.33,5.25
Hamburger SV,Freiburg,3,2,H,12,13,6,3,16,13,2,5,2,4,0,0,2.1,3.39,3.6
Hoffenheim,Augsburg,2,2,D,8,12,5,3,9,14,6,3,0,2,0,1,2.04,3.25,3.79
Leverkusen,Stuttgart,0,1,A,24,4,7,1,13,12,6,2,2,0,0,0,1.39,4.75,8
Schalke 04,M'Gladbach,1,1,D,10,10,4,4,11,11,1,1,2,4,1,0,1.85,3.6,4.2
Wolfsburg,Hannover 96,1,3,A,10,14,1,5,14,17,2,6,3,2,0,0,2.2,3.39,3.29
Mainz 05,RB Leipzig,3,0,H,16,6,9,1,24,9,7,8,2,4,0,1,3.75,3.39,2.04
Werder Bremen,Dortmund,1,1,D,19,17,6,6,8,9,7,5,1,2,0,0,3.79,3.75,1.9
Augsburg,Schalke 04,1,2,A,12,15,5,7,13,9,4,4,2,3,0,0,3.6,3.29,2.1
Dortmund,Mainz 05,1,2,A,12,7,4,5,16,17,4,2,3,3,0,0,1.3,5.5,10
