HomeTeam,AwayTeam,HomeGoals,AwayGoals,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A,B365A
Cagliari,SPAL,2,0,H,10,10,4,3,26,16,6,3,5,2,0,0,2.14,3.25,3.6
Juventus,Sassuolo,7,0,H,17,5,10,1,8,8,5,1,0,2,0,0,1.22,6,15
Udinese,Milan,1,1,D,13,15,3,4,18,13,5,5,2,2,0,1,3.39,3.29,2.2
Hellas Verona,Roma,0,1,A,9,17,1,8,17,7,4,6,3,1,0,1,7,4.5,1.44
Lazio,Genoa,1,2,A,22,6,5,4,7,9,8,1,0,1,0,0,1.5,4.2,7
Fiorentina,Juventus,0,2,A,12,4,2,3,12,17,2,5,4,3,0,0,4.5,3.5,1.85
Crotone,Atalanta,1,1,D,9,13,4,4,16,13,4,9,4,2,0,0,4.5,3.5,1.85
Napoli,Lazio,4,1,H,17,5,7,1,5,10,2,2,0,3,0,0,1.61,4.33,5
SPAL,Milan,0,4,A,8,21,0,9,17,16,3,5,3,3,0,0,4.5,3.6,1.83
Chievo,Genoa,0,1,A,6,10,1,3,16,17,3,7,1,1,0,0,3.1,3.1,2.5
Inter,Bologna,2,1,H,15,8,5,4,18,17,7,2,1,3,0,2,1.5,4.2,7
Roma,Benevento,5,2,H,20,6,9,3,9,7,10,3,0,0,0,0,1.14,8,19
Sampdoria,Hellas Verona,2,0,H,22,6,10,1,10,15,8,4,1,1,0,0,1.44,4.5,7.5
Sassuolo,Cagliari,0,0,D,15,5,1,2,12,15,4,2,0,1,0,0,2.1,3.39,3.6
Torino,Udinese,2,0,H,14,12,7,0,12,16,7,3,2,1,0,0,1.85,3.6,4.33
Chievo,Cagliari,2,1,H,9,5,5,3,10,23,7,1,2,3,0,0,2.45,3.2,3.1
Genoa,Inter,2,0,H,9,14,2,5,11,9,10,8,0,1,0,0,3.5,3.1,2.25
Udinese,Roma,0,2,A,8,18,3,7,11,10,2,7,3,1,0,0,4.33,3.6,1.85
Atalanta,Fiorentina,1,1,D,7,17,3,2,10,18,2,5,2,6,0,1,2.29,3.29,3.1
Benevento,Crotone,3,2,H,16,19,8,3,14,10,7,4,5,2,0,0,2.54,3.2,2.89
Bologna,Sassuolo,2,1,H,10,19,6,6,12,19,2,9,1,4,0,1,2.54,3.2,2.87
Milan,Sampdoria,1,0,H,20,9,8,2,13,15,11,1,1,3,0,0,1.72,4,4.5
Napoli,SPAL,1,0,H,19,4,5,1,10,11,10,1,1,4,0,0,1.14,8,23
Torino,Juventus,0,1,A,6,8,3,3,14,8,2,3,1,1,0,0,4.75,3.75,1.75
Lazio,Hellas Verona,2,0,H,33,5,10,0,7,10,11,2,0,1,0,0,1.16,7.5,17
Bologna,Genoa,2,0,H,7,16,4,3,9,12,2,8,2,0,0,0,2.89,3,2.7
Inter,Benevento,2,0,H,9,10,4,1,15,14,6,2,2,3,0,1,1.25,6,11
Crotone,SPAL,2,3,A,17,10,7,6,19,13,5,4,1,4,0,0,2.29,3.1,3.39
Fiorentina,Chievo,1,0,H,14,5,5,2,16,17,9,10,1,1,0,0,1.5,4.2,7
Roma,Milan,0,2,A,18,10,3,5,11,6,9,3,0,0,0,0,1.95,3.6,3.79
Sampdoria,Udinese,2,1,H,14,16,3,4,11,16,5,4,2,2,0,0,1.9,3.5,4.2
